Bill of Quantities — ff,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Date: 04 June 2026,,,,,,
,,,,,,
#,Description (English),البيان,Unit,Quantity,Unit Price (AED),Total (AED)
■ Foundations | الأساسات,,,,,,
C.1,Excavation,,m³,629.66,0,
D.1,Foundation PCC (Blinding),,m³,11.48,0,
D.3,Foundation Concrete,,m³,49.45,0,
F.1,Foundation Bitumen,,m²,175.6,0,
D.4,Neck Column Concrete,,m³,0.54,0,
F.2,Neck Column Bitumen,,m²,15.4,0,
C.4,Anti-Termite (Foundations),,m²,416.93,0,
C.5,Polyethylene Sheet (Foundations),,m²,114.8,0,
C.3,Road Base (Sub-Grade Fill),,m³,104.23,0,
C.2,Backfill,,m³,602.43,0,
■ Tie Beam | الميدة,,,,,,
D.5,Tie Beam Concrete,,m³,29.51,0,
D.2,Tie Beam PCC (Blinding),,m³,11.81,0,
F.3,Tie Beam Bitumen,,m²,295.14,0,
D.6,Slab on Grade Concrete,,m³,16.27,0,
E.1,Solid Block Work (Sub-Grade) (200mm Thickness),,m³,64.44,0,
F.4,Block Work Bitumen (200mm Thickness),,m²,143.2,0,
C.6,Anti-Termite (Tie Beam),,m²,162.67,0,
C.7,Polyethylene Sheet (Tie Beam),,m²,280.77,0,
■ Columns (All Floors) | الأعمدة,,,,,,
D.7.1,Column Concrete (GF → 1st Floor),,m³,2.16,0,
D.7.2,Column Concrete (1st → 2nd Floor),,m³,2.16,0,
D.7.3,Column Concrete (Roof),,m³,1.89,0,
■ 1st Floor Slab | بلاطة الدور الأول,,,,,,
D.8.1,Beam Concrete (1st Floor),,m³,14.67,0,
D.9.1,Slab Concrete (1st Floor),,m³,23.47,0,
D.10,Staircase Concrete,,m³,10.4,0,
■ Roof Slab | بلاطة السطح,,,,,,
D.9.3,Slab Concrete (Roof),,m³,77.38,0,
D.8.3,Beam Concrete (Roof),,m³,14.36,0,
E.4,Parapet Block Work (200mm Thickness),,m²,71.6,0,
D.11,Parapet Concrete Coping,,m³,2.86,0,
■ Ground Floor Plan | مسقط الدور الأرضي,,,,,,
E.2.1,Thermal Block External (GF) (200mm Thickness) (200mm Thickness),,m²,286.4,0,
E.3.1,Internal Block Work (GF) (200mm Thickness) (100mm Thickness),,m²,224.8,0,
31,Internal Block Work (GF) (100mm Thickness) (100mm Thickness),,m²,153.6,0,
G.5.1,Dry Area Flooring (GF),,m²,113.91,0,
G.6.1,Wet Area Flooring (GF),,m²,33.97,0,
G.7.1,Wall Tiles (GF Wet Areas),,m²,184.8,0,
G.8.1,Skirting (GF),,m,121.2,0,
G.3.1,Internal Paint (GF),,m²,484.8,0,
G.1.1,Internal Plaster (GF),,m²,778.16,0,
G.9.1,Dry Area Ceiling (GF),,m²,113.91,0,
G.10.1,Wet Area Ceiling (GF),,m²,33.97,0,
F.7.1,Balcony Waterproofing (GF),,m²,0,0,
■ 1st Floor Plan | مسقط الدور الأول,,,,,,
E.2.2,Thermal Block External (1F) (200mm Thickness) (200mm Thickness),,m²,237.6,0,
E.3.2,Internal Block Work (1F) (200mm Thickness) (100mm Thickness),,m²,278.4,0,
43,Internal Block Work (1F) (100mm Thickness) (100mm Thickness),,m²,154.8,0,
G.5.2,Dry Area Flooring (1F),,m²,93.88,0,
G.6.2,Wet Area Flooring (1F),,m²,0,0,
G.7.2,Wall Tiles (1F Wet Areas),,m²,0,0,
F.6.1,Wet Area Waterproofing (1F),,m²,0,0,
F.7.2,Balcony Waterproofing (1F),,m²,0,0,
G.1.2,Internal Plaster (1F),,m²,444.48,0,
G.3.2,Internal Paint (1F),,m²,369.6,0,
■ Roof Floor Plan | مسقط السطح,,,,,,
F.5,Roof Waterproofing,,m²,371.42,0,
■ Elevations | الواجهات,,,,,,
G.2,External Plaster,,m²,862.78,0,
G.4,External Finishes,,m²,862.78,0,
■ Setting Out / Site Plan | مخطط الموقع,,,,,,
G.11,Interlock Paving,,m²,435.68,0,
G.12,Compound Wall,,m,98.66,0,
■ Door & Window Schedules | جداول الأبواب والنوافذ,,,,,,
H.1,Door Openings,,Nr,62,0,
H.2,Window Openings,,m²,151.68,0,
GRAND TOTAL (AED),,,,,,
